country,country_code_2_digit,country_code_3_digit,population,cases_count,deaths_count,reported_date,source
Switzerland,CH,CHE,8544527,52,,26-06-2020,"Epidemic intelligence, national daily data"
Romania,RO,ROU,19414458,189,,08-06-2020,"Epidemic intelligence, national daily data"
Switzerland,CH,CHE,8544527,0,0,01-02-2020,"Epidemic intelligence, national daily data"
Denmark,DK,DNK,5806081,,4,22-03-2020,"Epidemic intelligence, national daily data"
Czechia,CZ,CZE,10649800,,24,24-09-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,,2,26-08-2020,"Epidemic intelligence, national daily data"
Georgia,GE,GEO,3989175,5,,18-06-2020,"Epidemic intelligence, national daily data"
Spain,ES,ESP,46937060,,743,08-04-2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,43,,01-03-2020,"Epidemic intelligence, national daily data"
Ireland,IE,IRL,4904240,61,,24-08-2020,"Epidemic intelligence, national daily data"
Iceland,IS,ISL,356991,6,,16-09-2020,"Epidemic intelligence, national daily data"
the Holy See/ Vatican City State,VA,VAT,809,0,0,27-01-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,,1,19-05-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,9,09-06-2020,"Epidemic intelligence, national daily data"
Ukraine,UA,UKR,43733759,,12,16-06-2020,"Epidemic intelligence, national daily data"
Belarus,BY,BLR,9449321,187,,15-09-2020,"Epidemic intelligence, national daily data"
Moldova,MD,MDA,4033963,,0,19-08-2020,"Epidemic intelligence, national daily data"
Monaco,MC,MCO,33085,,0,28-04-2020,"Epidemic intelligence, national daily data"
Norway,NO,NOR,5328212,0,0,25-05-2020,"Epidemic intelligence, national daily data"
Croatia,HR,HRV,4076246,219,,26-08-2020,"Epidemic intelligence, national daily data"
Hungary,HU,HUN,9772756,,0,23-04-2020,"Epidemic intelligence, national daily data"
Germany,DE,DEU,83019213,350,,09-06-2020,"Epidemic intelligence, national daily data"
North Macedonia,MK,MKD,2077132,,3,29-05-2020,"Epidemic intelligence, national daily data"
France,FR,FRA,67012883,,16,31-07-2020,"Epidemic intelligence, national daily data"
United Kingdom,UK,GBR,66647112,0,0,20-01-2020,"Epidemic intelligence, national daily data"
